subzone,popmale,popfemale,poptotal
ADMIRALTY,6860,7060,13920
AIRPORT ROAD,0,0,0
ALEXANDRA HILL,6630,6860,13490
ALEXANDRA NORTH,1230,1400,2630
ALJUNIED,19740,20250,39990
ANAK BUKIT,10370,11500,21870
ANCHORVALE,23700,24420,48120
ANG MO KIO TOWN CENTRE,2260,2550,4810
ANSON,0,0,0
BAHAR,0,0,0
BALESTIER,15670,16760,32430
BANGKIT,11010,11260,22270
BAYFRONT SUBZONE,0,0,0
BAYSHORE,3580,3870,7450
BEDOK NORTH,39700,42140,81840
BEDOK RESERVOIR,12480,12990,25470
BEDOK SOUTH,22540,24160,46700
BENCOOLEN,620,690,1310
BENDEMEER,18240,19330,37570
BENOI SECTOR,0,0,0
BIDADARI,0,0,0
BISHAN EAST,13420,14880,28300
BOAT QUAY,70,60,130
BOON KENG,5630,6160,11790
BOON LAY PLACE,15060,14270,29330
BOON TECK,7210,7450,14660
BOULEVARD,210,200,410
BRADDELL,4590,5210,9800
BRAS BASAH,0,0,0
BRICKLAND,0,0,0
BRICKWORKS,9800,10020,19820
BUGIS,440,450,890
BUKIT BATOK CENTRAL,13290,14000,27290
BUKIT BATOK EAST,6290,6410,12700
BUKIT BATOK SOUTH,7360,7570,14930
BUKIT BATOK WEST,7300,7700,15000
BUKIT HO SWEE,7050,7340,14390
BUKIT MERAH,550,570,1120
CAIRNHILL,1830,2060,3890
CECIL,130,130,260
CENTRAL SUBZONE,410,470,880
CENTRAL WATER CATCHMENT,0,0,0
CHANGI AIRPORT,0,0,0
CHANGI BAY,0,0,0
CHANGI POINT,300,240,540
CHANGI WEST,660,650,1310
CHATSWORTH,3190,3690,6880
CHENG SAN,13480,14600,28080
CHIN BEE,0,0,0
CHINA SQUARE,670,760,1430
CHINATOWN,5040,5450,10490
CHOA CHU KANG CENTRAL,11180,11340,22520
CHOA CHU KANG NORTH,15860,16070,31930
CHONG BOON,12860,13640,26500
CITY HALL,0,0,0
CITY TERMINALS,0,0,0
CLARKE QUAY,70,50,120
CLEANTECH,0,0,0
CLEMENTI CENTRAL,6600,7400,14000
CLEMENTI NORTH,13400,15410,28810
CLEMENTI WEST,7310,7950,15260
CLEMENTI WOODS,7660,8340,16000
CLIFFORD PIER,0,0,0
COMMONWEALTH,3230,3770,7000
COMPASSVALE,10170,10790,20960
CONEY ISLAND,0,0,0
CORONATION ROAD,3050,3650,6700
CRAWFORD,4630,3750,8380
DAIRY FARM,3350,3590,6940
DEFU INDUSTRIAL PARK,0,0,0
DEPOT ROAD,3090,3450,6540
DHOBY GHAUT,160,160,320
DOVER,5260,5820,11080
DUNEARN,1800,2150,3950
EAST COAST,0,0,0
EVERTON PARK,3680,4120,7800
FABER,2620,2740,5360
FAJAR,13870,13950,27820
FARRER COURT,2900,3280,6180
FARRER PARK,1350,1310,2660
FERNVALE,28860,29950,58810
FLORA DRIVE,7200,7470,14670
FOREST HILL,0,0,0
FORT CANNING,90,90,180
FRANKEL,16260,18230,34490
GALI BATU,0,0,0
GARDEN,0,0,0
GEYLANG BAHRU,5620,5660,11280
GEYLANG EAST,14540,15380,29920
GHIM MOH,6470,7380,13850
GOMBAK,4840,5090,9930
GOODWOOD PARK,600,660,1260
GREENWOOD PARK,0,0,0
GUILIN,6290,6650,12940
GUL BASIN,0,0,0
GUL CIRCLE,0,0,0
HENDERSON HILL,6490,6830,13320
HILLCREST,4170,5300,9470
HILLVIEW,9290,10000,19290
HOLLAND DRIVE,5760,6920,12680
HOLLAND ROAD,4800,6040,10840
HONG KAH,26650,27230,53880
HONG KAH NORTH,13030,13120,26150
HOUGANG CENTRAL,2350,2370,4720
HOUGANG EAST,12110,12810,24920
